               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.015133,           0.0088494,                   0,             0.92646,             0.95285,             0.97333,             0.59795,            0.030269,            0.013955,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.015005,            0.008569,                   0,             0.92153,             0.95395,             0.96425,             0.60124,            0.030212,            0.014003,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.015151,           0.0091319,                   0,             0.91689,             0.95792,             0.96787,             0.60134,             0.02993,            0.014144,                   0,            0.001684,            0.001684,            0.001684
                  86,             0.01491,           0.0090565,                   0,             0.92361,             0.94832,             0.96683,             0.60342,            0.029752,            0.014131,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.014656,           0.0087252,                   0,             0.91851,             0.95518,             0.96857,             0.59741,            0.030028,            0.014123,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.014619,           0.0090822,                   0,             0.92109,              0.9482,             0.96656,             0.60485,            0.029892,            0.014305,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.014435,           0.0085094,                   0,              0.9315,             0.95231,             0.97417,             0.61319,             0.02945,            0.014193,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.014238,           0.0087788,                   0,             0.93038,             0.94678,             0.97222,             0.60693,            0.029725,            0.014231,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.014342,           0.0086441,                   0,             0.93927,             0.94118,             0.96957,             0.60703,            0.029661,            0.014259,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.013748,           0.0081442,                   0,             0.93109,             0.94627,              0.9693,              0.6035,            0.029765,            0.014381,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.01392,           0.0084772,                   0,             0.91869,              0.9495,             0.96613,             0.60524,            0.029576,             0.01423,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.013655,           0.0081125,                   0,             0.92356,             0.94118,             0.96546,             0.60058,            0.029711,            0.014548,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.013652,           0.0079883,                   0,             0.93077,             0.93838,             0.97061,             0.60208,            0.029713,            0.014581,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.013477,           0.0082699,                   0,             0.92764,             0.93838,             0.96657,             0.60302,            0.029575,            0.014568,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.013222,           0.0080747,                   0,             0.95475,             0.91597,             0.97262,             0.60849,            0.029418,            0.014453,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.013122,           0.0080963,                   0,             0.93079,             0.94181,             0.97345,             0.60394,            0.029521,            0.014644,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.012993,           0.0081422,                   0,             0.93135,             0.93838,              0.9669,             0.60723,             0.02962,            0.014697,                   0,            0.000298,            0.000298,            0.000298
